De:01|A:03|Valor:807.26|NoDocumentos:4
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01
03|1|4-461026078|552|198.23
03|1|4-461666078|552|121.01
03|1|4-461546078|552|34.01
03|1|4-461326078|552|454.01

